('Alumno P', ' Alumno R', ' Alumno Q', 'Empresa vacia', ' Alumno T')
('Alumno P', ' Alumno R', 'Empresa vacia', ' Alumno Q', ' Alumno T')
('Alumno P', ' Alumno T', ' Alumno Q', 'Empresa vacia', ' Alumno R')
('Alumno P', ' Alumno T', 'Empresa vacia', ' Alumno Q', ' Alumno R')
(' Alumno Q', ' Alumno R', 'Alumno P', 'Empresa vacia', ' Alumno T')
(' Alumno Q', ' Alumno R', 'Empresa vacia', 'Alumno P', ' Alumno T')
(' Alumno Q', ' Alumno T', 'Alumno P', 'Empresa vacia', ' Alumno R')
(' Alumno Q', ' Alumno T', 'Empresa vacia', 'Alumno P', ' Alumno R')
(' Alumno R', 'Alumno P', 'Empresa vacia', ' Alumno Q', ' Alumno T')
(' Alumno R', 'Alumno P', 'Empresa vacia', ' Alumno T', ' Alumno Q')
(' Alumno R', ' Alumno Q', 'Empresa vacia', 'Alumno P', ' Alumno T')
(' Alumno R', ' Alumno Q', 'Empresa vacia', ' Alumno T', 'Alumno P')
(' Alumno R', 'Empresa vacia', 'Alumno P', ' Alumno T', ' Alumno Q')
(' Alumno R', 'Empresa vacia', ' Alumno Q', ' Alumno T', 'Alumno P')
(' Alumno T', 'Alumno P', 'Empresa vacia', ' Alumno Q', ' Alumno R')
(' Alumno T', 'Alumno P', 'Empresa vacia', ' Alumno R', ' Alumno Q')
(' Alumno T', ' Alumno Q', 'Empresa vacia', 'Alumno P', ' Alumno R')
(' Alumno T', ' Alumno Q', 'Empresa vacia', ' Alumno R', 'Alumno P')
(' Alumno T', 'Empresa vacia', 'Alumno P', ' Alumno R', ' Alumno Q')
(' Alumno T', 'Empresa vacia', ' Alumno Q', ' Alumno R', 'Alumno P')
